,Sempervirine (II),C1CCC2=C[N]3=CC=c4c5ccccc5[nH]c4=C3C=C2C1
,coptisine,C1Oc2cc3CCn4cc5c6OCOc6ccc5cc4-c3cc2O1
,"1-1aristolochic,acid,i(error)",CC#COc1cccc2c1cc(N([O-])=O)c1c(cc3OCOc3c21)C(O)=O
,suspenolic acid,CC(=O)OC1CCC(CC1)=CC([O-])=[O-]
,"anisocoumarin,h",CC(C)=C[C@@H](O)C\C(C)=C\COc1ccc2cc[c+](=O)oc2c1
,cyanin,CC(C)CCN1C=C\C(=C/C2=CC=[N](CCC(C)C)c3ccccc23)c2ccccc12
,nodakenetin,CC(C)[C@H]1Cc2cc3cc[c+](=O)oc3cc2O1
,2-hydroxyoleanolic acid,CC1(C)CC[C@]2(CC[C@@]3(C)C(=CC[C@H]4[C@@]5(C)C[C@@H](O)[C@@H](O)C(C)(C)[C@H]5CC[C@@]34C)[C@H]2C1)C([O-])=[O-]
,diphosphatidylglycerol,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP([O-])(=[O-])OCC[C@@H](O)COP([O-])(=[O-])OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC
,lecithin,CCCCCCCCCCCCCCCC(=O)OC[C@H](CO[P@@]([O-])(=[O-])OCC[N](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC
,Sphingomyelin,CCCCCCCCCCCCCCCCCCCCCCC\C=C\[C@H](NC(=O)CCCCCCCCCCCCCCCCCCCCCCC)[C@H](O)CO[P@](O)(=O)OCC[N](C)(C)(C)O
,phospholipid,CCCCCCCCCCCCCCCCOC[C@H](CO[P@](O)(=O)OC[C@H]1O[C@H](C[C@@H]1N=[N]=[N-])n1cc(C)c(=O)[nH]c1=O)OCC
,sphingomyelin,CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO[P@@](O)(=O)OCC[N](C)(C)C)NC=O
,"methyl-2,6,10-trimethyltridecanoate",CCC[C@@H](C)CCC[C@@H](C)CCCC(C)(C)C([O-])=[O-]
,"N,N-Dimethylconiine",CCC[C@@H]1CCCC[N]1(C)C
,"isomer-of-magnofl,orine",CCOc1c(O)ccc2C[C@H]3c4c(CC[N]3(C)C)cc(OC)c(O)c4-c12
,n-methylphoebine,CCOc1c2CC[N](C)(C)[C@H]3Cc4cc([O-])c(C[O-])cc4-c(c(OCC)c1OC)c23
,hydroxyl-palmatine,CCOc1cc2CC[N]3=C(C=c4cc(O)c(OCC)c(OCC)c4=C3)c2cc1OCC
